passenger-carry, t = 17, b = 0, origin = 0, dest = 2, val = 19.99423247659424
passenger-carry, t = 17, b = 0, origin = 1, dest = 0, val = 15.001523975450631
passenger-carry, t = 17, b = 0, origin = 1, dest = 1, val = 119.62148773262427
passenger-carry, t = 17, b = 0, origin = 1, dest = 2, val = 14.94165293644712
passenger-carry, t = 17, b = 0, origin = 2, dest = 0, val = 14.948579298408456
passenger-carry, t = 17, b = 0, origin = 2, dest = 1, val = 114.05566416129707
passenger-carry, t = 17, b = 0, origin = 2, dest = 2, val = 15.000314031267527
passenger-carry, t = 18, b = 0, origin = 0, dest = 0, val = 20.12707711167282
passenger-carry, t = 18, b = 0, origin = 0, dest = 1, val = 161.21760567951853
passenger-carry, t = 18, b = 0, origin = 0, dest = 2, val = 20.062793933693058
passenger-carry, t = 18, b = 0, origin = 1, dest = 0, val = 15.00085912166683
passenger-carry, t = 18, b = 0, origin = 1, dest = 1, val = 119.14431506877179
passenger-carry, t = 18, b = 0, origin = 1, dest = 2, val = 14.980476512813343
passenger-carry, t = 18, b = 0, origin = 2, dest = 0, val = 14.918083494165906
passenger-carry, t = 18, b = 0, origin = 2, dest = 1, val = 132.7412624058169
passenger-carry, t = 18, b = 0, origin = 2, dest = 2, val = 14.932933524295308
passenger-carry, t = 19, b = 0, origin = 0, dest = 0, val = 19.941039527460198
passenger-carry, t = 19, b = 0, origin = 0, dest = 1, val = 179.8815905739449
passenger-carry, t = 19, b = 0, origin = 0, dest = 2, val = 19.75888912892709
passenger-carry, t = 19, b = 0, origin = 1, dest = 0, val = 15.04899337477722
passenger-carry, t = 19, b = 0, origin = 1, dest = 1, val = 120.3586246728108
passenger-carry, t = 19, b = 0, origin = 1, dest = 2, val = 14.955627666405256
passenger-carry, t = 19, b = 0, origin = 2, dest = 0, val = 15.101312247193814
passenger-carry, t = 19, b = 0, origin = 2, dest = 1, val = 127.9366750305327
passenger-carry, t = 19, b = 0, origin = 2, dest = 2, val = 14.993481557806994
