T	Origin	Destination	Payoff	Type	Pickup	Region	Rate
20	0	2	66.4793103448276	Travel	1		
20	0	0	17.10138613861386	Travel	1		
20	1	0	83.81635294117648	Travel	1		
20	2	2	11.166883116883117	Travel	1		
20	3	1	21.658516949152542	Travel	1		
20	3	0	80.4708888888889	Travel	1		
20	0	1	79.11692307692307	Travel	1		
20	0	3	79.8623076923077	Travel	1		
20	2	1	25.03372881355932	Travel	1		
20	1	1	15.665427574171032	Travel	1		
20	1	3	21.80636363636364	Travel	1		
20	1	2	25.898235294117647	Travel	1		
20	2	0	74.28197530864198	Travel	1		
21	2	0	74.28197530864198	Travel	1		
21	3	1	21.658516949152542	Travel	1		
21	3	2	38.8225	Travel	1		
21	1	3	21.80636363636364	Travel	1		
21	1	0	83.81635294117648	Travel	1		
21	2	1	25.03372881355932	Travel	1		
21	0	2	66.4793103448276	Travel	1		
21	0	3	79.8623076923077	Travel	1		
21	2	3	36.612	Travel	1		
21	3	0	80.4708888888889	Travel	1		
21	2	2	11.166883116883117	Travel	1		
21	1	2	25.898235294117647	Travel	1		
21	0	0	17.10138613861386	Travel	1		
21	0	1	79.11692307692307	Travel	1		
21	1	1	15.665427574171032	Travel	1		
21	3	3	13.34043307086614	Travel	1		
22	2	1	25.03372881355932	Travel	1		
22	1	3	21.80636363636364	Travel	1		
22	3	0	80.4708888888889	Travel	1		
22	0	1	79.11692307692307	Travel	1		
22	3	1	21.658516949152542	Travel	1		
22	0	0	17.10138613861386	Travel	1		
22	2	2	11.166883116883117	Travel	1		
22	2	0	74.28197530864198	Travel	1		
22	0	2	66.4793103448276	Travel	1		
22	3	2	38.8225	Travel	1		
22	3	3	13.34043307086614	Travel	1		
22	2	3	36.612	Travel	1		
22	0	3	79.8623076923077	Travel	1		
22	1	2	25.898235294117647	Travel	1		
22	1	1	15.665427574171032	Travel	1		
22	1	0	83.81635294117648	Travel	1		
23	3	0	80.4708888888889	Travel	1		
23	1	1	15.665427574171032	Travel	1		
23	0	2	66.4793103448276	Travel	1		
23	3	2	38.8225	Travel	1		
23	3	3	13.34043307086614	Travel	1		
23	1	3	21.80636363636364	Travel	1		
23	0	0	17.10138613861386	Travel	1		
23	2	1	25.03372881355932	Travel	1		
