t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,trial
82,1.4,0.1,0.7,0.0,0.0,0.3,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,4.5
83,0.9,0.4,0.7,0.0,0.0,0.3,0.0,0.0,0.9,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,0.0,4.5
84,1.0,0.5,0.7,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5
85,1.3,0.2,0.7,0.0,0.0,0.3,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,4.5
86,0.6,0.4,0.7,0.0,0.0,0.3,0.0,0.0,0.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6,0.0,0.0,0.0,0.0,0.0,4.5
87,1.0,0.4,0.7,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5
88,1.2,0.4,0.7,0.0,0.0,0.3,0.0,0.0,1.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2,0.0,0.0,0.0,0.0,0.0,4.5
89,2.9,0.31166666666666665,0.7,0.0,0.0,0.3,0.7,0.0,2.2,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,1.4,0.0,0.0,4.5
90,1.5,0.3,0.7,0.0,0.0,0.3,0.0,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5,0.0,0.0,0.0,0.0,0.0,4.5
91,1.4,0.3,0.7,0.0,0.0,0.3,0.0,0.0,1.4,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4,0.0,0.0,0.0,0.0,0.0,4.5
92,1.6,0.2,0.7,0.0,0.0,0.3,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,4.5
93,1.3,0.2,0.7,0.0,0.0,0.3,0.0,0.0,1.3,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3,0.0,0.0,0.0,0.0,0.0,4.5
94,1.0,0.4,0.7,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5
95,1.6,0.2,0.7,0.0,0.0,0.3,0.0,0.0,1.6,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.0,0.0,0.0,4.5
96,0.7,0.5,0.7,0.0,0.0,0.3,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.5
97,1.0,0.4,0.7,0.0,0.0,0.3,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,4.5
98,0.7,0.6,0.7,0.0,0.0,0.3,0.0,0.0,0.7,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,4.5
99,2.3,0.475,0.8,0.0,0.0,0.2,0.8,0.0,1.5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.6,0.0,0.0,0.7,0.0,0.0,4.5
