t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_battery_cars_0,frac_battery_cars_1,frac_battery_cars_2,frac_battery_cars_3,frac_battery_cars_4,frac_battery_cars_5,frac_battery_cars_6,frac_battery_cars_7,frac_battery_cars_8,frac_battery_cars_9,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
20,4.6,0.6533080808080809,0.3666666666666667,0.4333333333333334,0.1,0.09999999999999999,3.6,2.0,0.6,0.025,0.016666666666666666,0.075,0.1,0.11666666666666665,0.16666666666666666,0.19166666666666665,0.16666666666666666,0.075,0.06666666666666667,0.8,2.1,1.549999999999999,1.1,1.5,1.549999999999999,1.6,2.3,1.0,1.1,1.2,0.0,4.5
21,4.2,0.6591269841269841,0.4416666666666667,0.4,0.15,0.008333333333333333,3.6,1.5,1.1,0.03333333333333333,0.049999999999999996,0.049999999999999996,0.14166666666666666,0.10833333333333332,0.15,0.15,0.16666666666666666,0.11666666666666665,0.03333333333333333,1.5,2.7,3.1999999999999957,0.7,1.4,2.0,1.4,2.0,2.099999999999998,0.6,1.2,0.0,4.5
22,3.1,0.7878571428571428,0.425,0.45,0.05,0.075,3.5,0.7,0.4,0.03333333333333333,0.075,0.05833333333333333,0.125,0.10833333333333332,0.15,0.20833333333333334,0.125,0.049999999999999996,0.06666666666666667,1.1,1.8,1.0,0.2,2.4,1.0,1.0,0.9,0.0,0.8,1.5,1.0,4.5
23,3.5,0.7216666666666667,0.4166666666666667,0.3333333333333333,0.21666666666666665,0.03333333333333333,2.7,1.0,0.5,0.024999999999999998,0.08333333333333333,0.09166666666666666,0.09166666666666666,0.14166666666666666,0.14166666666666666,0.19166666666666665,0.11666666666666665,0.05833333333333333,0.05833333333333333,1.6,2.3,3.549999999999999,0.5,1.4,1.549999999999999,0.9,0.5,0.5499999999999989,0.5,1.5,1.549999999999999,4.5
24,5.7,0.5696428571428571,0.4083333333333333,0.4,0.175,0.016666666666666666,3.3,2.8,0.6,0.025,0.1,0.05833333333333333,0.05833333333333333,0.14166666666666666,0.15,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.05,0.9,2.7,2.549999999999999,1.4,2.1,1.549999999999999,2.2,0.5,0.0,1.2,1.4,2.099999999999998,4.5
25,4.5,0.34035714285714286,0.325,0.5583333333333333,0.05,0.06666666666666667,1.9,3.4,2.0,0.05,0.10833333333333332,0.06666666666666667,0.049999999999999996,0.13333333333333333,0.175,0.1,0.19166666666666665,0.058333333333333334,0.06666666666666667,0.9,3.5,0.0,0.5,1.7,1.0,2.4,0.5,0.5499999999999989,0.7,1.1,1.6499999999999968,4.5
26,4.4,0.23781746031746032,0.275,0.6166666666666667,0.09166666666666666,0.016666666666666666,1.7,3.1,3.0,0.09166666666666666,0.075,0.075,0.06666666666666667,0.15,0.15,0.13333333333333333,0.16666666666666666,0.05833333333333333,0.03333333333333333,0.7,1.8,0.0,0.6,0.8,0.5499999999999989,2.3,0.4,1.549999999999999,0.8,1.7,2.549999999999999,4.5
27,4.7,0.5211471861471861,0.4166666666666667,0.5416666666666667,0.0,0.041666666666666664,3.9,2.6,1.3,0.10833333333333332,0.09166666666666666,0.06666666666666667,0.1,0.15,0.125,0.125,0.14166666666666666,0.05833333333333333,0.03333333333333333,1.2,1.3,0.0,0.3,1.3,0.0,2.3,1.0,0.0,0.9,0.8,0.0,4.5
28,5.9,0.5528654678654679,0.55,0.375,0.075,0.0,4.3,2.7,1.5,0.13333333333333333,0.10833333333333332,0.075,0.13333333333333333,0.1,0.125,0.175,0.075,0.049999999999999996,0.025,1.4,0.7,0.0,0.7,1.8,2.0,2.0,1.2,0.0,1.8,0.6,0.5499999999999989,4.5
29,6.4,0.4343326118326118,0.5416666666666667,0.375,0.05,0.03333333333333333,3.5,3.7,1.9,0.16666666666666669,0.075,0.09166666666666666,0.125,0.11666666666666665,0.125,0.15,0.08333333333333333,0.041666666666666664,0.025,1.4,1.0,1.0,1.4,2.4,1.0999999999999979,1.7,0.4,0.5499999999999989,1.9,1.6,0.5499999999999989,4.5
