t,num_new_requests,frac_requests_fulfilled,frac_passenger-carrying_cars,frac_rerouting_cars,frac_charging_cars,frac_idling_cars,num_fulfilled_requests,num_queued_requests,num_abandoned_requests,frac_low_battery_cars,frac_med_battery_cars,frac_high_battery_cars,num_trip_requests_0,num_cars_region_0,num_charging_cars_region_0,num_trip_requests_1,num_cars_region_1,num_charging_cars_region_1,num_trip_requests_2,num_cars_region_2,num_charging_cars_region_2,num_trip_requests_3,num_cars_region_3,num_charging_cars_region_3,trial
85,5.6,0.0,0.0,0.0,0.0,1.0,0.0,5.6,4.9,0.0,0.0,1.0,0.7,3.0,0.0,3.9,3.0,0.0,0.9,3.0,0.0,0.1,3.0,0.0,4.5
86,4.9,0.0,0.0,0.0,0.0,1.0,0.0,4.9,5.6,0.0,0.0,1.0,0.9,3.0,0.0,3.4,3.0,0.0,0.5,3.0,0.0,0.1,3.0,0.0,4.5
87,4.7,0.0,0.0,0.0,0.0,1.0,0.0,4.7,4.9,0.0,0.0,1.0,0.7,3.0,0.0,3.2,3.0,0.0,0.8,3.0,0.0,0.0,3.0,0.0,4.5
88,4.1,0.0,0.0,0.0,0.0,1.0,0.0,4.1,4.7,0.0,0.0,1.0,0.9,3.0,0.0,2.1,3.0,0.0,1.0,3.0,0.0,0.1,3.0,0.0,4.5
89,4.3,0.0,0.0,0.0,0.0,1.0,0.0,4.3,4.1,0.0,0.0,1.0,0.4,3.0,0.0,2.7,3.0,0.0,1.2,3.0,0.0,0.0,3.0,0.0,4.5
90,4.2,0.0,0.0,0.0,0.0,1.0,0.0,4.2,4.3,0.0,0.0,1.0,0.4,3.0,0.0,2.8,3.0,0.0,0.9,3.0,0.0,0.1,3.0,0.0,4.5
91,4.8,0.0,0.0,0.0,0.0,1.0,0.0,4.8,4.2,0.0,0.0,1.0,1.0,3.0,0.0,2.8,3.0,0.0,1.0,3.0,0.0,0.0,3.0,0.0,4.5
92,3.3,0.0,0.0,0.0,0.0,1.0,0.0,3.3,4.8,0.0,0.0,1.0,0.8,3.0,0.0,1.6,3.0,0.0,0.8,3.0,0.0,0.1,3.0,0.0,4.5
93,2.8,0.0,0.0,0.0,0.0,1.0,0.0,2.8,3.3,0.0,0.0,1.0,0.5,3.0,0.0,1.9,3.0,0.0,0.4,3.0,0.0,0.0,3.0,0.0,4.5
94,3.3,0.0,0.0,0.0,0.0,1.0,0.0,3.3,2.8,0.0,0.0,1.0,0.8,3.0,0.0,1.6,3.0,0.0,0.8,3.0,0.0,0.1,3.0,0.0,4.5
95,3.7,0.0,0.0,0.0,0.0,1.0,0.0,3.7,3.3,0.0,0.0,1.0,1.1,3.0,0.0,1.4,3.0,0.0,1.1,3.0,0.0,0.1,3.0,0.0,4.5
